Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PARM,Chrome 75.0.3770.100,,,2019-07-17 06:50:22,2019-07-17 06:50:39,16.729s,INCOMPLETE
,,,,,,,
Test Cases/PARM/TC_01_ValidateSearchResult,Chrome 75.0.3770.100,,,2019-07-17 06:50:22,2019-07-17 06:50:39,16.509s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-17 06:50:22,2019-07-17 06:50:29,6.259s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,,2019-07-17 06:50:29,2019-07-17 06:50:33,4.150s,PASSED
"navigateToUrl(""http://10.50.120.22:81/nvkids/#/tools/maintanance/parm/view"")",Chrome 75.0.3770.100,,,2019-07-17 06:50:33,2019-07-17 06:50:33,0.366s,PASSED
"click(findTestObject(""PARM/PARMSearch/ExpandFilter""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:33,2019-07-17 06:50:34,0.693s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickJobLOV""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:34,2019-07-17 06:50:34,0.106s,PASSED
"setText(findTestObject(""PARM/PARMSearch/TypeJOB""), ""nvb0014"")",Chrome 75.0.3770.100,,,2019-07-17 06:50:34,2019-07-17 06:50:34,0.198s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickSeachJOBLOV""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:34,2019-07-17 06:50:34,0.106s,PASSED
delay(2),Chrome 75.0.3770.100,,,2019-07-17 06:50:34,2019-07-17 06:50:36,2.020s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickData""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:36,2019-07-17 06:50:36,0.074s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickOkLOV""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:36,2019-07-17 06:50:36,0.116s,PASSED
"click(findTestObject(""PARM/PARMSearch/FilterSearch""))",Chrome 75.0.3770.100,,,2019-07-17 06:50:36,2019-07-17 06:50:37,0.109s,PASSED
delay(2),Chrome 75.0.3770.100,,,2019-07-17 06:50:37,2019-07-17 06:50:39,2.003s,PASSED
"verifyElementText(findTestObject(""PARM/PARMSearch/SearchResult""), ""NVB0014"")",Chrome 75.0.3770.100,,,2019-07-17 06:50:39,2019-07-17 06:50:39,0.066s,PASSED
